total-carbon-emissions,average-satisfaction,cycling,car,public transport
599,52,19,35,46
541,48,26,29,45
554,47,29,34,37
526,43,31,30,39
547,64,27,31,42
566,53,26,34,40
569,47,24,33,43
551,54,31,35,34
593,54,23,37,40
504,49,34,28,38
587,51,27,39,34
578,44,28,38,34
536,47,26,28,46
577,51,27,37,36
559,52,29,35,36
512,49,32,28,40
513,52,28,25,47
530,48,25,26,49
557,55.00000000000001,27,33,40
581,48,21,33,46
591,54,26,39,35
534,57.99999999999999,24,26,50
577,50,32,41,27
572,50,22,32,46
558,49,28,34,38
549,56.00000000000001,29,33,38
560,40,25,32,43
537,45,32,33,35
590,56.00000000000001,25,38,37
513,54,33,29,38
572,50,27,36,37
546,42,26,30,44
604,50,24,40,36
591,46,21,35,44
573,46,28,37,35
519,53,29,27,44
571,51,26,35,39
569,45,19,29,52
536,48,31,32,37
492,61,37,28,35
513,59,28,25,47
560,53,25,32,43
591,53,21,35,44
501,49,31,25,44
621,50,21,41,38
589,54,24,37,39
562,52,27,34,39
541,45,31,33,36
511,47,26,23,51
539,56.00000000000001,29,31,40
554,55.00000000000001,29,34,37
549,40,24,29,47
562,48,32,38,30
543,52,28,31,41
587,51,22,35,43
580,46,25,36,39
612,44,22,40,38
559,56.99999999999999,24,31,45
624,49,19,40,41
583,44,18,31,51
597,49,22,37,41
570,41,30,38,32
561,50,26,33,41
522,50,27,26,47
560,53,25,32,43
576,49,26,36,38
551,44,26,31,43
569,49,24,33,43
595,60,20,35,45
533,51,28,29,43
595,45,20,35,45
574,42,29,38,33
513,52,33,29,38
596,39,21,36,43
560,47,25,32,43
552,48,27,32,41
578,54,23,34,43
581,53,26,37,37
501,53,31,25,44
550,44,25,30,45
529,43,29,29,42
593,49,18,33,49
517,48,27,25,48
573,50,28,37,35
504,47,29,24,47
531,57.99999999999999,31,31,38
576,60,21,32,47
523,48,28,27,45
548,55.00000000000001,28,32,40
547,48,32,35,33
546,51,31,34,35
549,56.99999999999999,29,33,38
547,50,27,31,42
522,56.99999999999999,27,26,47
527,55.00000000000001,27,27,46
570,49,25,34,41
523,49,33,31,36
562,49,27,34,39
544,41,29,32,39
561,49,21,29,50
576,59,26,36,38
538,49,28,30,42
551,45,21,27,52
544,49,29,32,39
551,47,26,31,43
595,47,25,39,36
558,60,28,34,38
562,51,27,34,39
507,57.99999999999999,32,27,41
565,60,25,33,42
552,45,27,32,41
584,46,24,36,40
578,52,23,34,43
564,49,24,32,44
544,40,24,28,48
561,49,26,33,41
550,49,25,30,45
542,46,27,30,43
565,57.99999999999999,25,33,42
567,56.99999999999999,27,35,38
558,46,28,34,38
599,53,24,39,37
638,40,18,42,40
513,50,28,25,47
561,46,26,33,41
538,46,33,34,33
572,50,27,36,37
621,47,16,37,47
587,51,22,35,43
594,45,24,38,38
551,52,26,31,43
632,52,17,40,43
545,61,25,29,46
567,44,27,35,38
516,51,31,28,41
586,51,26,38,36
571,52,26,35,39
521,54,31,29,40
532,57.99999999999999,27,28,45
574,55.00000000000001,24,34,42
573,56.99999999999999,28,37,35
523,48,33,31,36
563,50,23,31,46
590,56.00000000000001,25,38,37
564,55.00000000000001,29,36,35
605,50,20,37,43
520,45,30,28,42
642,42,17,42,41
571,40,26,35,39
519,47,34,31,35
548,57.99999999999999,28,32,40
525,49,30,29,41
558,42,28,34,38
516,45,31,28,41
525,48,30,29,41
554,55.00000000000001,24,30,46
522,54,32,30,38
578,41,28,38,34
529,47,29,29,42
586,46,21,34,45
585,51,20,33,47
567,49,27,35,38
558,46,23,30,47
548,42,23,28,49
544,46,29,32,39
522,49,32,30,38
590,52,25,38,37
573,49,23,33,44
573,46,23,33,44
566,51,26,34,40
578,53,23,34,43
510,43,30,26,44
574,43,19,30,51
556,56.00000000000001,26,32,42
591,55.00000000000001,21,35,44
580,56.00000000000001,20,32,48
550,46,30,34,36
553,45,23,29,48
567,44,27,35,38
574,40,24,34,42
546,43,31,34,35
584,55.00000000000001,24,36,40
559,51,24,31,45
558,59,28,34,38
572,49,27,36,37
606,54,21,38,41
548,49,28,32,40
574,51,24,34,42
499,47,29,23,48
567,56.99999999999999,27,35,38
562,40,27,34,39
529,53,34,33,33
555,46,25,31,44
570,49,25,34,41
555,45,25,31,44
595,56.99999999999999,20,35,45
582,52,27,38,35
488,43,33,24,43
561,52,26,33,41
535,50,30,31,39
590,53,25,38,37
558,37,28,34,38
527,50,32,31,37
566,48,26,34,40
507,51,32,27,41
641,53,21,45,34
580,49,25,36,39
587,56.99999999999999,22,35,43
542,47,27,30,43
576,45,26,36,38
576,37,26,36,38
524,53,29,28,43
574,57.99999999999999,24,34,42
553,53,33,37,30
567,48,22,31,47
527,52,32,31,37
544,46,29,32,39
560,48,25,32,43
475,52,35,23,42
570,61,20,30,50
558,49,28,34,38
549,42,29,33,38
568,46,23,32,45
512,49,27,24,49
561,56.00000000000001,26,33,41
568,50,28,36,36
534,60,29,30,41
599,43,19,35,46
520,46,25,24,51
583,49,23,35,42
541,54,26,29,45
533,42,28,29,43
647,51,17,43,40
571,47,26,35,39
553,51,23,29,48
572,55.00000000000001,22,32,46
574,56.00000000000001,24,34,42
523,54,28,27,45
539,57.99999999999999,29,31,40
578,41,23,34,43
577,49,22,33,45
508,42,33,28,39
524,50,29,28,43
