Walking,Cycling,Driving
30,45,25
22,39,39
33,39,28
29,45,26
38,27,35
32,46,22
26,40,34
32,38,30
32,38,30
35,37,28
32,38,30
38,41,21
36,37,27
32,32,36
26,49,25
32,35,33
31,35,34
34,35,31
29,36,35
30,40,30
43,29,28
35,37,28
30,36,34
37,37,26
29,35,36
26,40,34
35,37,28
33,35,32
25,44,31
37,29,34
29,36,35
36,33,31
29,44,27
29,44,27
35,37,28
33,33,34
42,30,28
33,39,28
25,42,33
32,37,31
32,39,29
32,32,36
24,46,30
34,39,27
33,38,29
26,45,29
31,38,31
29,40,31
27,44,29
19,51,30
32,37,31
35,36,29
36,42,22
27,42,31
32,43,25
30,40,30
34,33,33
35,40,25
33,36,31
29,37,34
27,41,32
28,44,28
25,42,33
36,37,27
31,39,30
34,38,28
35,37,28
33,34,33
34,40,26
29,35,36
29,37,34
29,48,23
26,40,34
33,37,30
27,39,34
26,38,36
36,36,28
36,26,38
25,46,29
30,41,29
39,33,28
23,43,34
32,31,37
31,43,26
30,39,31
22,38,40
32,45,23
32,35,33
28,38,34
39,32,29
29,41,30
33,30,37
30,39,31
32,40,28
23,47,30
40,27,33
33,40,27
37,33,30
33,38,29
28,41,31
26,41,33
31,28,41
31,34,35
31,40,29
24,35,41
30,39,31
37,35,28
32,40,28
26,43,31
30,41,29
36,28,36
28,35,37
31,40,29
36,33,31
24,46,30
34,33,33
34,38,28
36,35,29
32,41,27
31,36,33
35,38,27
38,36,26
32,36,32
30,40,30
31,34,35
27,37,36
35,35,30
33,31,36
30,32,38
34,36,30
38,30,32
39,37,24
22,42,36
31,43,26
36,34,30
39,32,29
29,42,29
32,33,35
35,36,29
34,34,32
34,37,29
31,34,35
33,40,27
38,37,25
27,43,30
34,39,27
33,39,28
33,31,36
29,43,28
33,43,24
30,41,29
40,28,32
31,35,34
32,33,35
34,36,30
27,42,31
32,31,37
33,38,29
17,51,32
31,40,29
39,38,23
28,42,30
34,37,29
25,35,40
31,35,34
37,40,23
39,37,24
24,44,32
29,32,39
29,42,29
33,37,30
34,35,31
34,38,28
32,32,36
32,37,31
29,43,28
30,38,32
34,33,33
34,42,24
33,35,32
29,41,30
30,42,28
28,43,29
21,45,34
37,27,36
31,34,35
33,36,31
35,30,35
28,36,36
36,29,35
25,45,30
33,37,30
28,41,31
29,38,33
25,35,40
31,38,31
32,41,27
29,43,28
25,40,35
27,33,40
29,30,41
25,41,34
27,38,35
31,38,31
35,35,30
27,42,31
30,41,29
25,42,33
27,40,33
34,47,19
30,39,31
34,42,24
32,36,32
37,32,31
29,34,37
24,42,34
32,48,20
27,46,27
36,28,36
31,39,30
35,41,24
26,33,41
35,34,31
44,29,27
29,47,24
32,38,30
31,38,31
28,45,27
39,31,30
24,46,30
31,42,27
33,35,32
41,26,33
29,37,34
38,31,31
32,34,34
23,42,35
30,41,29
34,37,29
36,36,28
33,43,24
35,40,25
29,31,40
34,37,29
34,34,32
33,28,39
35,36,29
39,36,25
30,38,32
30,37,33
34,30,36
36,34,30
35,34,31
30,37,33
31,42,27
32,32,36
37,35,28
28,32,40
43,30,27
33,37,30
34,38,28
31,32,37
38,34,28
30,43,27
33,32,35
31,35,34
36,27,37
25,40,35
32,36,32
29,43,28
33,36,31
31,38,31
38,37,25
24,44,32
32,39,29
32,41,27
30,39,31
30,45,25
35,35,30
25,38,37
33,42,25
35,36,29
34,37,29
33,38,29
33,36,31
34,38,28
34,39,27
36,32,32
32,40,28
37,35,28
32,38,30
31,40,29
28,37,35
30,41,29
31,35,34
30,37,33
30,36,34
33,39,28
32,47,21
31,40,29
34,39,27
26,38,36
29,33,38
29,39,32
38,37,25
29,35,36
30,40,30
28,41,31
37,37,26
33,31,36
30,34,36
37,33,30
33,36,31
34,29,37
32,40,28
29,35,36
33,38,29
31,41,28
29,37,34
27,42,31
32,38,30
32,34,34
36,37,27
32,31,37
36,35,29
25,40,35
26,41,33
34,37,29
24,39,37
25,39,36
34,40,26
42,35,23
30,34,36
29,43,28
37,34,29
31,35,34
29,35,36
27,42,31
37,35,28
30,35,35
24,45,31
24,53,23
24,38,38
22,48,30
29,39,32
29,41,30
30,41,29
30,31,39
26,38,36
32,32,36
33,42,25
37,33,30
34,42,24
33,39,28
35,32,33
34,38,28
30,35,35
38,31,31
33,33,34
32,38,30
30,39,31
39,27,34
40,30,30
32,37,31
35,40,25
27,41,32
38,29,33
35,39,26
30,38,32
25,37,38
32,42,26
33,43,24
36,33,31
27,42,31
36,26,38
27,40,33
37,34,29
32,39,29
35,37,28
37,23,40
35,38,27
33,33,34
31,32,37
23,37,40
28,39,33
29,43,28
39,30,31
32,33,35
35,36,29
35,35,30
35,35,30
30,42,28
28,46,26
29,42,29
28,38,34
36,38,26
37,37,26
23,45,32
24,45,31
27,41,32
31,42,27
37,41,22
32,32,36
28,36,36
32,38,30
41,35,24
24,46,30
36,39,25
23,41,36
26,46,28
36,35,29
38,31,31
35,33,32
33,37,30
35,34,31
27,49,24
27,41,32
25,48,27
38,33,29
34,36,30
42,29,29
32,43,25
34,28,38
32,39,29
37,37,26
32,40,28
29,35,36
34,35,31
29,36,35
32,35,33
36,36,28
40,36,24
28,39,33
28,41,31
34,31,35
30,40,30
33,35,32
29,41,30
34,37,29
39,39,22
36,29,35
31,37,32
30,36,34
25,47,28
29,37,34
27,39,34
31,36,33
34,32,34
27,35,38
36,29,35
32,37,31
27,39,34
29,41,30
28,42,30
26,36,38
41,26,33
35,29,36
24,46,30
35,36,29
29,43,28
30,39,31
40,24,36
37,32,31
34,36,30
35,31,34
28,37,35
34,37,29
24,44,32
36,39,25
37,28,35
34,32,34
31,34,35
33,34,33
30,34,36
24,40,36
32,39,29
30,39,31
30,36,34
30,44,26
39,33,28
30,34,36
34,36,30
25,44,31
26,39,35
24,44,32
33,37,30
32,36,32
36,30,34
32,40,28
35,39,26
25,33,42
29,43,28
38,35,27
33,41,26
28,40,32
26,41,33
30,44,26
31,38,31
34,29,37
32,33,35
