Bus , Train , Car
55 , 22 , 23
57 , 20 , 23
55 , 27 , 18
59 , 21 , 20
61 , 22 , 17
59 , 25 , 16
59 , 24 , 17
53 , 26 , 21
55 , 25 , 20
53 , 25 , 22
53 , 25 , 22
59 , 18 , 23
57 , 20 , 23
55 , 24 , 21
53 , 28 , 19
57 , 23 , 20
57 , 23 , 20
56 , 25 , 19
49 , 32 , 19
56 , 23 , 21
56 , 24 , 20
55 , 26 , 19
61 , 15 , 24
58 , 22 , 20
52 , 24 , 24
59 , 21 , 20
54 , 24 , 22
59 , 22 , 19
53 , 24 , 23
68 , 15 , 17
58 , 24 , 18
56 , 24 , 20
61 , 17 , 22
57 , 23 , 20
58 , 21 , 21
63 , 15 , 22
55 , 16 , 29
61 , 21 , 18
53 , 26 , 21
51 , 25 , 24
51 , 27 , 22
51 , 21 , 28
58 , 21 , 21
61 , 20 , 19
57 , 26 , 17
53 , 29 , 18
62 , 18 , 20
55 , 20 , 25
53 , 30 , 17
59 , 19 , 22
57 , 24 , 19
58 , 18 , 24
56 , 17 , 27
50 , 26 , 24
65 , 16 , 19
53 , 22 , 25
60 , 17 , 23
54 , 26 , 20
58 , 21 , 21
57 , 22 , 21
57 , 25 , 18
53 , 24 , 23
53 , 27 , 20
54 , 25 , 21
66 , 18 , 16
59 , 15 , 26
62 , 18 , 20
57 , 22 , 21
50 , 33 , 17
59 , 24 , 17
52 , 29 , 19
63 , 19 , 18
57 , 20 , 23
58 , 21 , 21
56 , 18 , 26
52 , 26 , 22
56 , 23 , 21
59 , 20 , 21
57 , 24 , 19
55 , 25 , 20
62 , 17 , 21
52 , 26 , 22
67 , 12 , 21
51 , 27 , 22
54 , 22 , 24
58 , 22 , 20
58 , 25 , 17
61 , 22 , 17
61 , 21 , 18
56 , 23 , 21
58 , 20 , 22
56 , 17 , 27
59 , 19 , 22
53 , 23 , 24
58 , 22 , 20
56 , 29 , 15
53 , 26 , 21
61 , 19 , 20
60 , 20 , 20
60 , 13 , 27
59 , 19 , 22
52 , 23 , 25
55 , 25 , 20
54 , 26 , 20
57 , 24 , 19
60 , 19 , 21
57 , 23 , 20
51 , 28 , 21
61 , 21 , 18
56 , 24 , 20
57 , 23 , 20
60 , 21 , 19
58 , 23 , 19
54 , 21 , 25
57 , 19 , 24
55 , 21 , 24
51 , 27 , 22
58 , 26 , 16
57 , 24 , 19
63 , 16 , 21
61 , 19 , 20
55 , 22 , 23
58 , 20 , 22
59 , 25 , 16
55 , 20 , 25
60 , 17 , 23
52 , 27 , 21
57 , 24 , 19
60 , 21 , 19
54 , 24 , 22
58 , 27 , 15
59 , 20 , 21
58 , 20 , 22
52 , 23 , 25
66 , 15 , 19
49 , 30 , 21
65 , 16 , 19
58 , 22 , 20
57 , 17 , 26
58 , 19 , 23
56 , 23 , 21
56 , 22 , 22
65 , 15 , 20
63 , 20 , 17
55 , 22 , 23
57 , 25 , 18
63 , 15 , 22
58 , 21 , 21
60 , 24 , 16
61 , 19 , 20
58 , 24 , 18
61 , 16 , 23
47 , 32 , 21
57 , 24 , 19
61 , 22 , 17
63 , 19 , 18
