File;Component;Code;Quote
data/mvp_1.txt;Actors;Individual Commuter;I usually wake up around 6:30 a.m., have a light breakfast, and then head out by 7:30.
data/mvp_1.txt;Actors;Individual Commuter;I feel fitter, and I’m less stressed during rush hour.
data/mvp_1.txt;Actors;Colleagues;I also sometimes carpool with a colleague if we have early meetings.
data/mvp_1.txt;Actors;Colleagues;A few of my colleagues have switched to biking too.
data/mvp_1.txt;Archetypes;Environmentally Conscious Commuter;I started thinking more about my carbon footprint—and honestly, it just felt better to be more active in the mornings.
data/mvp_1.txt;Archetypes;Environmentally Conscious Commuter;If I can do something small but consistent, maybe it helps in the long run.
data/mvp_1.txt;Archetypes;Flexible Commuter;Yes, if it’s raining heavily or I’m feeling unwell, I take the bus.
data/mvp_1.txt;Archetypes;Flexible Commuter;Start small. Maybe bike one or two days a week, or try the bus for a few days and see how it fits your routine.
data/mvp_1.txt;Physical Components;Bicycle;I live about 10 kilometers from my workplace, so I cycle most days.
data/mvp_1.txt;Physical Components;Bicycle;Instead of sitting in a jam, I’m cruising past traffic on a bike lane.
data/mvp_1.txt;Physical Components;Public Transportation (Bus);Yes, if it’s raining heavily or I’m feeling unwell, I take the bus.
data/mvp_1.txt;Physical Components;Public Transportation (Bus);And when I take the bus, I use the time to read or listen to audiobooks.
data/mvp_1.txt;Social Aspect;Workplace Culture;They actually have a cycle-to-work scheme, which I joined.
data/mvp_1.txt;Social Aspect;Workplace Culture;There’s a really nice culture of encouraging sustainable habits there.
data/mvp_1.txt;Social Aspect;Infrastructure Influence;I talk to friends who say they’d love to bike or take public transport, but the lack of safe bike lanes or inconsistent bus schedules puts them off.
data/mvp_1.txt;Social Aspect;Infrastructure Influence;If cities invested more in those systems, I think we’d see a huge change.
data/mvp_1.txt;Psychological Aspect;Motivation for Sustainable Commuting;A combination of things, really. One big factor was learning more about the environmental impact of daily commuting.
data/mvp_1.txt;Psychological Aspect;Motivation for Sustainable Commuting;Plus, I enjoy it! It’s energizing and gives me time to think.
data/mvp_1.txt;Psychological Aspect;Perceived Benefits;I feel fitter, and I’m less stressed during rush hour.
data/mvp_1.txt;Psychological Aspect;Perceived Benefits;And don’t underestimate how good it feels to be part of the solution.
data/mvp_1.txt;Misc;Distance;I live about 10 kilometers from my workplace
data/mvp_1.txt;Misc;Environmental Impact;I was reading articles and listening to podcasts about climate change, and it struck me that transportation is such a big contributor.
data/mvp_1.txt;Key Activities;Commuting Mode Selection;I actually switched to biking regularly about two years ago. I used to drive
data/mvp_1.txt;Key Activities;Commuting Mode Selection;Yes, if it’s raining heavily or I’m feeling unwell, I take the bus.
data/mvp_1.txt;Key Activities;Workplace Support Interaction;They actually have a cycle-to-work scheme, which I joined.
data/mvp_1.txt;Key Activities;Workplace Support Interaction;We also have secure bike storage and showers, which makes it easier.
data/mvp_2.txt;Actors;Individual Commuter;I’m not a morning person at all, but I manage to crawl out of bed around 7:15.
data/mvp_2.txt;Actors;Individual Commuter;I’m less grumpy in the mornings, I save money, and I don’t have to panic about finding parking anymore.
