File;Component;Code;Quote
data/mvp_1.txt;Actors;Individual Commuter;I usually wake up around 6:30 a.m., have a light breakfast, and then head out by 7:30.
data/mvp_1.txt;Actors;Individual Commuter;I talk to friends who say they’d love to bike or take public transport, but the lack of safe bike lanes or inconsistent bus schedules puts them off.
data/mvp_1.txt;Actors;Colleagues;I also sometimes carpool with a colleague if we have early meetings.
data/mvp_1.txt;Actors;Colleagues;A few of my colleagues have switched to biking too.
data/mvp_1.txt;Archetypes;Environmentally Conscious Commuter;I started thinking more about my carbon footprint—and honestly, it just felt better to be more active in the mornings.
data/mvp_1.txt;Archetypes;Environmentally Conscious Commuter;If I can do something small but consistent, maybe it helps in the long run.
data/mvp_1.txt;Archetypes;Flexible Commuter;Yes, if it’s raining heavily or I’m feeling unwell, I take the bus.
data/mvp_1.txt;Archetypes;Flexible Commuter;Start small. Maybe bike one or two days a week, or try the bus for a few days and see how it fits your routine.
data/mvp_1.txt;Physical Components;Bicycle;I live about 10 kilometers from my workplace, so I cycle most days.
data/mvp_1.txt;Physical Components;Bicycle;Instead of sitting in a jam, I’m cruising past traffic on a bike lane.
data/mvp_1.txt;Physical Components;Public Transportation (Bus);Yes, if it’s raining heavily or I’m feeling unwell, I take the bus.
data/mvp_1.txt;Physical Components;Public Transportation (Bus);It’s pretty reliable, and there’s a bus stop just a few minutes from my flat.
data/mvp_1.txt;Social Aspect;Workplace Culture Supporting Sustainability;They actually have a cycle-to-work scheme, which I joined.
data/mvp_1.txt;Social Aspect;Workplace Culture Supporting Sustainability;There’s a really nice culture of encouraging sustainable habits there.
data/mvp_1.txt;Social Aspect;Carpooling Norms;I also sometimes carpool with a colleague if we have early meetings.
data/mvp_1.txt;Social Aspect;Carpooling Norms;Also, improving public transport frequency and making it more affordable.
data/mvp_1.txt;Psychological Aspect;Sense of Well-being;And it often improves quality of life too.
data/mvp_1.txt;Psychological Aspect;Sense of Well-being;I feel fitter, and I’m less stressed during rush hour.
data/mvp_1.txt;Psychological Aspect;Motivation through Knowledge;One big factor was learning more about the environmental impact of daily commuting.
data/mvp_1.txt;Psychological Aspect;Motivation through Knowledge;It’s not about being perfect—it’s about being consistent. And don’t underestimate how good it feels to be part of the solution.
data/mvp_1.txt;Misc;Environmental Impact;I was reading articles and listening to podcasts about climate change, and it struck me that transportation is such a big contributor.
data/mvp_1.txt;Misc;Environmental Impact;Obviously, we need better infrastructure and policy, but when people choose to cycle, walk, or take public transport, it reduces emissions and traffic congestion.
data/mvp_1.txt;Misc;Commuting Distance;I live about 10 kilometers from my workplace
data/mvp_1.txt;Misc;Commuting Distance;It takes me around 35 to 40 minutes, depending on traffic and weather.
data/mvp_1.txt;Key Activities;Commuting Mode Selection;I actually switched to biking regularly about two years ago. I used to drive
data/mvp_1.txt;Key Activities;Commuting Mode Selection;Yes, if it’s raining heavily or I’m feeling unwell, I take the bus.
data/mvp_1.txt;Key Activities;Advocating for Infrastructure Improvement;Definitely more protected bike lanes, and maybe incentives for people to use e-bikes or carpool.
data/mvp_1.txt;Key Activities;Advocating for Infrastructure Improvement;If cities invested more in those systems, I think we’d see a huge change.
data/mvp_2.txt;Actors;Individual Commuter;I’m not a morning person at all, but I manage to crawl out of bed around 7:15.
data/mvp_2.txt;Actors;Individual Commuter;I recycle, I try not to waste food, and I walk or use public transport when I can.
data/mvp_2.txt;Actors;Workplace;They also give out travel vouchers for public transport, which is sweet.
data/mvp_2.txt;Actors;Workplace;There’s definitely a culture of “hey, let’s not destroy the planet if we don’t have to,” which I appreciate.
data/mvp_2.txt;Archetypes;Eco-conscious Commuter;I’m trying to be more mindful without going extreme.
data/mvp_2.txt;Archetypes;Eco-conscious Commuter;I don’t own a car anymore, and honestly, I don’t miss it.
data/mvp_2.txt;Archetypes;Pragmatic Commuter;Traffic was a nightmare, parking was expensive, and I started feeling guilty about my car basically puffing out fumes every day.
data/mvp_2.txt;Archetypes;Pragmatic Commuter;If public transport is reliable, clean, and not wildly expensive, more people will use it.
data/mvp_2.txt;Physical Components;Tram System;Mostly by tram, actually.
data/mvp_2.txt;Physical Components;Tram System;Now, I just hop on the tram, scroll through memes or read the news, and boom—I’m at work in 20 minutes.
data/mvp_2.txt;Physical Components;Bike and Walking Infrastructure;give us safe bike lanes and people will ride.
data/mvp_2.txt;Physical Components;Bike and Walking Infrastructure;We’ve got a bike rack, some people use it religiously.
data/mvp_2.txt;Social Aspect;Workplace Culture of Sustainability;There’s definitely a culture of “hey, let’s not destroy the planet if we don’t have to,” which I appreciate.
data/mvp_2.txt;Social Aspect;Workplace Culture of Sustainability;They also give out travel vouchers for public transport, which is sweet.
data/mvp_2.txt;Social Aspect;Social influence and Norms;I’m not a “perfect eco-warrior” or anything, but I figured if I could cut down on emissions and stress at the same time… win-win, right?
data/mvp_2.txt;Social Aspect;Social influence and Norms;If I’ve convinced even one person to leave their car keys behind, I consider it a success.
data/mvp_2.txt;Psychological Aspect;Stress Reduction;sitting in traffic every morning was driving me a bit mad.
data/mvp_2.txt;Psychological Aspect;Stress Reduction;I’m less grumpy in the mornings, I save money, and I don’t have to panic about finding parking anymore.
data/mvp_2.txt;Psychological Aspect;Guilt and Environmental Responsibility;I started feeling guilty about my car basically puffing out fumes every day.
data/mvp_2.txt;Psychological Aspect;Guilt and Environmental Responsibility;I’m trying to be more mindful without going extreme.
data/mvp_2.txt;Misc;Distance;I work in the city center, about 6 or 7 kilometers from home.
data/mvp_2.txt;Misc;Distance;It takes about 45 minutes, but I throw on a podcast and it’s actually pretty relaxing.
data/mvp_2.txt;Misc;Weather;If the weather’s nice, I’ll walk.
data/mvp_2.txt;Misc;Weather;Sometimes, yeah! If the weather’s nice, I’ll walk.
data/mvp_2.txt;Key Activities;Choosing Commute Method;I used to drive, but sitting in traffic every morning was driving me a bit mad. Now, I just hop on the tram
data/mvp_2.txt;Key Activities;Choosing Commute Method;Try walking or taking the bus once or twice a week.
data/mvp_2.txt;Key Activities;Daily Commute;I grab a coffee, stare at the wall for a bit, then leave by 8.
data/mvp_2.txt;Key Activities;Daily Commute;I just hop on the tram, scroll through memes or read the news, and boom—I’m at work in 20 minutes.
